"nbsp","sing.sp","FRic","qual.FRic","FEve","FDis","RaoQ","simpson","huc","trait"
19,19,4.23783801883068,1,0.11468974258767,0.971690532603154,1.41328715297509,0.391681953156408,"1804000801","fri"
8,8,3.2489757829573,1,0.230166026488199,0.644183534052944,0.805756969155966,0.717565954644626,"1804000801","sea"
8,8,2.99999957812509,1,0.608323396848289,0.470221661371819,0.452303044856925,0.350827563320039,"1804000801","sev"
13,13,3.70524017961568,1,0.400192787022779,0.656866080918674,0.69240140661563,0.384516370833515,"1804000801","pat"
377,377,20.6375772462469,0.0729223061202433,0.307925777341076,0.16766789285343,0.0455084028019819,0.408251929756342,"1804000801","all"
9,9,3.322735089545,1,0.183520954905868,0.601354217909017,0.841696963309221,0.225930576323978,"1804000802","fri"
9,9,3.02371566792474,1,0.416848069718746,0.529329933029995,0.514721147251324,0.708097272264287,"1804000802","sea"
8,8,2.99999957812509,1,0.662852806468393,0.332822631664848,0.322359417972433,0.219065716330417,"1804000802","sev"
12,12,3.54194679291784,1,0.550331603094117,0.400407204380689,0.415054151359987,0.231736636824498,"1804000802","pat"
414,414,18.5887604318543,0.0750177577672467,0.381989408833063,0.110878097433209,0.0307593252907936,0.241368156030026,"1804000802","all"
30,30,4.86830628981515,1,0.102666529091854,1.62322905410152,2.88389585821586,0.62167089356039,"1804000803","fri"
14,14,3.20713477204563,1,0.226724756063931,0.274308295899177,0.134988588863997,0.762742362800065,"1804000803","sea"
8,8,2.99999957812509,1,0.685865299908116,0.734947035490813,0.74095525887195,0.578859242766989,"1804000803","sev"
16,16,3.24036943242543,1,0.0278017742380958,0.744009455981068,0.691353680676811,0.632984208246236,"1804000803","pat"
627,627,20.0688514373182,0.0668957709010515,0.377340483042407,0.229869480138398,0.0621615082956188,0.663821748287513,"1804000803","all"
3,3,1.99999808000276,1,0.0216889443573482,0.0431060746778723,0.0431043622367536,0.0215547890825911,"1804000901","fri"
2,2,1.41421356237309,1,NA,0.000443396622545125,0.000313528758556896,0.000313528758556947,"1804000901","sea"
8,8,2.99999957812509,1,0.657765054870686,0.0316152925034788,0.0322107516877123,0.0185353867558,"1804000901","sev"
9,9,3.42134714755071,1,0.787535136881637,0.0521169686723139,0.0684054734138161,0.0205603206441126,"1804000901","pat"
77,77,3.15427977926337,0.245383088228489,0.366942344391433,0.0139376304061001,0.00463287817507565,0.0228374775678118,"1804000901","all"
6,6,2.84018636318124,1,0.0952706259738949,0.194643236396542,0.213897901480469,0.0902313324460232,"1804000902","fri"
5,5,2.37232083393085,1,0.193918914593804,1.00142679926528,1.06604800363375,0.501550686109369,"1804000902","sea"
8,8,2.99999957812509,1,0.547927084598487,0.0924588256387221,0.0774467276498427,0.0682438505190942,"1804000902","sev"
11,11,3.49926917785464,1,0.71090274651485,0.180893766651597,0.219373678245156,0.0810458152612996,"1804000902","pat"
155,155,4.23070805461443,0.152514053164316,0.464845792308426,0.0436439547614849,0.0130264474871716,0.0934565138206419,"1804000902","all"
21,21,4.34649815534622,1,0.0502349707560399,1.63850938085929,2.88248732714967,0.719359025743974,"1804000903","fri"
9,9,3.2040063553113,1,0.207526574783727,0.454241338291169,0.324581771466885,0.631904710964373,"1804000903","sea"
8,8,2.99999957812509,1,0.621570360981993,0.769518087127146,0.747061691808429,0.719972267351925,"1804000903","sev"
14,14,3.20713352028213,1,0.617000221928002,0.813630554865348,0.822785542791877,0.766565727930932,"1804000903","pat"
444,444,15.5351260529597,0.0771601173988204,0.443228021932259,0.249147107407573,0.0696412321569412,0.812613048951597,"1804000903","all"
12,12,3.6776148164232,1,0.451731931804424,1.36621932963875,2.0105694937112,0.578561768422476,"1804000904","fri"
6,6,2.82841958230403,1,0.386171202751835,0.334440108038851,0.225475704366098,0.300317008396593,"1804000904","sea"
8,8,2.99999957812509,1,0.664127735114106,0.861645582963923,0.924890617870979,0.57925327479582,"1804000904","sev"
15,15,3.22490189370248,1,0.504611705265138,0.693039619255809,0.654719356466657,0.606446410825636,"1804000904","pat"
298,298,8.3544240453301,0.0998483478353333,0.41305779969595,0.233611847676906,0.0644100537255643,0.625404610701635,"1804000904","all"
24,24,4.53129347465546,1,0.206039467998373,1.5986121970946,2.82663983808378,0.593017182081492,"1804000905","fri"
11,11,3.4992706953942,1,0.412817357788913,0.302989250822854,0.375340433188444,0.632691052419129,"1804000905","sea"
8,8,2.99999957812509,1,0.654640363006198,0.717808042952519,0.708964567956112,0.556431852331848,"1804000905","sev"
16,16,3.24036943242543,1,0.537651308520284,0.703932572772203,0.663285286295806,0.595067073453768,"1804000905","pat"
535,535,20.0492793164115,0.0674731784598372,0.381859055761003,0.220072019428161,0.0581934733306434,0.627120813930849,"1804000905","all"
17,17,4.19760639153449,1,0.110743751869785,1.02043872549556,1.77738705937797,0.714319448307345,"1804000906","fri"
7,7,2.92769618579751,1,0.530575074366307,0.267665194890071,0.256673523708384,0.256708420042732,"1804000906","sea"
8,8,2.99999957812509,1,0.782669986736645,0.852455886463664,0.981913532073637,0.829339067967585,"1804000906","sev"
15,15,3.37130148255088,1,0.21651614861541,0.515152334519883,0.367484044055265,0.831233533042764,"1804000906","pat"
374,374,8.48489233211488,0.0894027575250171,0.452312515257417,0.178473016736283,0.0393988991762845,0.942045243433717,"1804000906","all"
20,20,4.29904423921612,1,0.142849057097491,0.754655994312318,1.11431696033771,0.735169652526018,"1804000907","fri"
13,13,3.33981784294399,1,0.181355812893114,0.255408413272857,0.109975107351023,0.60939891056155,"1804000907","sea"
8,8,2.99999957812509,1,0.779453689849711,0.732958319145634,0.765078790737251,0.829501792725504,"1804000907","sev"
14,14,3.20713352028213,1,0.407712275057747,0.637533829433092,0.574506275289469,0.883446929710553,"1804000907","pat"
540,540,12.9206668639528,0.0788877981289669,0.417557768758119,0.185366481131698,0.042996588564147,0.979435021254601,"1804000907","all"
